sealing_method,sta_id,quant_category,test,data_category,well,quant_value
ALPS,STA00005,LPC quant ,original run,final,A1,11
ALPS,STA00005,LPC quant ,original run,final,B1,10.9
ALPS,STA00005,LPC quant ,original run,final,C1,11
ALPS,STA00005,LPC quant ,original run,final,D1,11.2
ALPS,STA00005,LPC quant ,original run,final,E1,11.5
ALPS,STA00005,LPC quant ,original run,final,F1,10.7
ALPS,STA00005,LPC quant ,original run,final,G1,10.7
ALPS,STA00005,LPC quant ,original run,final,H1,11.5
ALPS,STA00005,LPC quant ,original run,final,A2,11.5
ALPS,STA00005,LPC quant ,original run,final,B2,11
ALPS,STA00005,LPC quant ,original run,final,C2,11.2
ALPS,STA00005,LPC quant ,original run,final,D2,11.3
ALPS,STA00005,LPC quant ,original run,final,E2,11.2
ALPS,STA00005,LPC quant ,original run,final,F2,11.2
ALPS,STA00005,LPC quant ,original run,final,G2,10.5
ALPS,STA00005,LPC quant ,original run,final,H2,9.9
ALPS,STA00005,LPC quant ,original run,final,A3,11.7
ALPS,STA00005,LPC quant ,original run,final,B3,11.8
ALPS,STA00005,LPC quant ,original run,final,C3,11.4
ALPS,STA00005,LPC quant ,original run,final,D3,11.3
ALPS,STA00005,LPC quant ,original run,final,E3,11.7
ALPS,STA00005,LPC quant ,original run,final,F3,11.7
ALPS,STA00005,LPC quant ,original run,final,G3,11.8
ALPS,STA00005,LPC quant ,original run,final,H3,12
ALPS,STA00005,LPC quant ,original run,final,A4,11
ALPS,STA00005,LPC quant ,original run,final,B4,11.2
ALPS,STA00005,LPC quant ,original run,final,C4,10.7
ALPS,STA00005,LPC quant ,original run,final,D4,11.4
ALPS,STA00005,LPC quant ,original run,final,E4,11.1
ALPS,STA00005,LPC quant ,original run,final,F4,11.4
ALPS,STA00005,LPC quant ,original run,final,G4,11.8
ALPS,STA00005,LPC quant ,original run,final,H4,10.6
ALPS,STA00005,LPC quant ,original run,final,A5,11.7
ALPS,STA00005,LPC quant ,original run,final,B5,11.6
ALPS,STA00005,LPC quant ,original run,final,C5,11
ALPS,STA00005,LPC quant ,original run,final,D5,11.4
ALPS,STA00005,LPC quant ,original run,final,E5,12.3
ALPS,STA00005,LPC quant ,original run,final,F5,12
ALPS,STA00005,LPC quant ,original run,final,G5,11.7
ALPS,STA00005,LPC quant ,original run,final,H5,11.2
ALPS,STA00005,LPC quant ,original run,final,A6,11.7
ALPS,STA00005,LPC quant ,original run,final,B6,11.7
ALPS,STA00005,LPC quant ,original run,final,C6,11.2
ALPS,STA00005,LPC quant ,original run,final,D6,11.2
ALPS,STA00005,LPC quant ,original run,final,E6,11.9
ALPS,STA00005,LPC quant ,original run,final,F6,11.3
ALPS,STA00005,LPC quant ,original run,final,G6,11.5
ALPS,STA00005,LPC quant ,original run,final,H6,11.2
ALPS,STA00005,ENC quant,original run,final,A1,1.16
ALPS,STA00005,ENC quant,original run,final,B1,1.71
ALPS,STA00005,ENC quant,original run,final,C1,1.38
ALPS,STA00005,ENC quant,original run,final,D1,1.39
ALPS,STA00005,ENC quant,original run,final,E1,1.63
ALPS,STA00005,ENC quant,original run,final,F1,1.7
ALPS,STA00005,ENC quant,original run,final,G1,2.8
ALPS,STA00005,ENC quant,original run,final,H1,1.68
ALPS,STA00005,ENC quant,original run,final,A2,1.74
ALPS,STA00005,ENC quant,original run,final,B2,1.6
ALPS,STA00005,ENC quant,original run,final,C2,1.41
ALPS,STA00005,ENC quant,original run,final,D2,1.6
ALPS,STA00005,ENC quant,original run,final,E2,1.67
ALPS,STA00005,ENC quant,original run,final,F2,1.88
ALPS,STA00005,ENC quant,original run,final,G2,2.29
ALPS,STA00005,ENC quant,original run,final,H2,1.95
ALPS,STA00005,ENC quant,original run,final,A3,1.81
ALPS,STA00005,ENC quant,original run,final,B3,1.6
ALPS,STA00005,ENC quant,original run,final,C3,1.3
ALPS,STA00005,ENC quant,original run,final,D3,1.56
ALPS,STA00005,ENC quant,original run,final,E3,1.79
ALPS,STA00005,ENC quant,original run,final,F3,1.97
ALPS,STA00005,ENC quant,original run,final,G3,2.24
ALPS,STA00005,ENC quant,original run,final,H3,2.04
ALPS,STA00005,ENC quant,original run,final,A4,1.42
ALPS,STA00005,ENC quant,original run,final,B4,1.51
ALPS,STA00005,ENC quant,original run,final,C4,1.43
ALPS,STA00005,ENC quant,original run,final,D4,1.46
ALPS,STA00005,ENC quant,original run,final,E4,1.96
ALPS,STA00005,ENC quant,original run,final,F4,1.74
ALPS,STA00005,ENC quant,original run,final,G4,2.3
ALPS,STA00005,ENC quant,original run,final,H4,1.95
ALPS,STA00005,ENC quant,original run,final,A5,1.21
ALPS,STA00005,ENC quant,original run,final,B5,1.48
ALPS,STA00005,ENC quant,original run,final,C5,1.32
ALPS,STA00005,ENC quant,original run,final,D5,1.33
ALPS,STA00005,ENC quant,original run,final,E5,1.82
ALPS,STA00005,ENC quant,original run,final,F5,1.83
ALPS,STA00005,ENC quant,original run,final,G5,2.07
ALPS,STA00005,ENC quant,original run,final,H5,2.11
ALPS,STA00005,ENC quant,original run,final,A6,1.6
ALPS,STA00005,ENC quant,original run,final,B6,1.34
ALPS,STA00005,ENC quant,original run,final,C6,1.66
ALPS,STA00005,ENC quant,original run,final,D6,0.318
ALPS,STA00005,ENC quant,original run,final,E6,1.35
ALPS,STA00005,ENC quant,original run,final,F6,1.51
ALPS,STA00005,ENC quant,original run,final,G6,2.27
ALPS,STA00005,ENC quant,original run,final,H6,1.28
PlateLoc,STA00017,LPC quant ,original run,final,A1,10.8
PlateLoc,STA00017,LPC quant ,original run,final,B1,11.2
PlateLoc,STA00017,LPC quant ,original run,final,C1,11
PlateLoc,STA00017,LPC quant ,original run,final,D1,10.7
PlateLoc,STA00017,LPC quant ,original run,final,E1,10.5
PlateLoc,STA00017,LPC quant ,original run,final,F1,10.4
PlateLoc,STA00017,LPC quant ,original run,final,G1,11.2
PlateLoc,STA00017,LPC quant ,original run,final,H1,10.9
PlateLoc,STA00017,LPC quant ,original run,final,A2,11.1
PlateLoc,STA00017,LPC quant ,original run,final,B2,11.3
PlateLoc,STA00017,LPC quant ,original run,final,C2,11
PlateLoc,STA00017,LPC quant ,original run,final,D2,10.9
PlateLoc,STA00017,LPC quant ,original run,final,E2,10.9
PlateLoc,STA00017,LPC quant ,original run,final,F2,10.4
PlateLoc,STA00017,LPC quant ,original run,final,G2,11.2
PlateLoc,STA00017,LPC quant ,original run,final,H2,10.2
PlateLoc,STA00017,LPC quant ,original run,final,A3,12
PlateLoc,STA00017,LPC quant ,original run,final,B3,11.8
PlateLoc,STA00017,LPC quant ,original run,final,C3,11.8
PlateLoc,STA00017,LPC quant ,original run,final,D3,12
PlateLoc,STA00017,LPC quant ,original run,final,E3,12.2
PlateLoc,STA00017,LPC quant ,original run,final,F3,11.8
PlateLoc,STA00017,LPC quant ,original run,final,G3,11.7
PlateLoc,STA00017,LPC quant ,original run,final,H3,13
PlateLoc,STA00017,LPC quant ,original run,final,A4,10.9
PlateLoc,STA00017,LPC quant ,original run,final,B4,10.9
PlateLoc,STA00017,LPC quant ,original run,final,C4,11.2
PlateLoc,STA00017,LPC quant ,original run,final,D4,10.8
PlateLoc,STA00017,LPC quant ,original run,final,E4,11.2
PlateLoc,STA00017,LPC quant ,original run,final,F4,10.9
PlateLoc,STA00017,LPC quant ,original run,final,G4,11.1
PlateLoc,STA00017,LPC quant ,original run,final,H4,11.1
PlateLoc,STA00017,LPC quant ,original run,final,A5,11.4
PlateLoc,STA00017,LPC quant ,original run,final,B5,11.1
PlateLoc,STA00017,LPC quant ,original run,final,C5,12
PlateLoc,STA00017,LPC quant ,original run,final,D5,10.9
PlateLoc,STA00017,LPC quant ,original run,final,E5,11.6
PlateLoc,STA00017,LPC quant ,original run,final,F5,11.3
PlateLoc,STA00017,LPC quant ,original run,final,G5,11.6
PlateLoc,STA00017,LPC quant ,original run,final,H5,11.9
PlateLoc,STA00017,LPC quant ,original run,final,A6,11.9
PlateLoc,STA00017,LPC quant ,original run,final,B6,11.1
PlateLoc,STA00017,LPC quant ,original run,final,C6,12
PlateLoc,STA00017,LPC quant ,original run,final,D6,11.6
